coach_id,first_name,last_name,gender,email,phone,specialty,license_type,license_expiry,hire_date,years_experience,monthly_salary_eur,employment_type,rating,active
1,Kristina,Butkus,F,kristina.butkus.c1@gmail.com,+370 637 72421,Nutrition,Yoga RYT-500,2026-05-03,2017-09-12,7,1583.66,Full-time,4.3,1
2,Aiste,Miller,F,aiste.miller.c2@yahoo.com,+370 664 60928,CrossFit,NASM-CPT,2026-10-21,2020-07-29,4,1215.01,Full-time,4.1,1
3,Egle,Paulauskas,F,egle.paulauskas.c3@yahoo.com,+370 689 83413,Functional Training,Yoga RYT-500,2028-12-13,2017-02-24,7,682.51,Part-time,3.2,1
4,Noah,Urbonas,M,noah.urbonas.c4@hotmail.com,+370 610 80513,Yoga,ACE-CPT,2027-06-30,2015-12-26,9,666.96,Part-time,4.8,1
5,Luna,Rimkus,F,luna.rimkus.c5@hotmail.com,+370 696 86351,Personal Training,Yoga RYT-200,2026-05-23,2015-08-19,9,1641.88,Full-time,3.9,1
6,Aiste,Petrauskas,F,aiste.petrauskas.c6@gmail.com,+370 695 56930,Pilates,Level 2 PT,2026-06-09,2015-08-02,9,503.01,Freelance,4.8,1
7,James,Tamosiunas,M,james.tamosiunas.c7@yahoo.com,+370 638 79622,Yoga,Level 1 PT,2027-09-22,2022-10-05,2,567.65,Freelance,4.8,1
8,Lukas,Garcia,M,lukas.garcia.c8@gmail.com,+370 689 11075,Swimming,Level 2 PT,2028-09-27,2020-05-25,4,326.08,Freelance,3.2,1
9,Gintare,Wilson,F,gintare.wilson.c9@yahoo.com,+370 698 21266,CrossFit,Level 3 PT,2025-11-02,2016-07-09,8,1137.54,Full-time,4.9,0
10,Monika,Williams,F,monika.williams.c10@hotmail.com,+370 664 45101,Personal Training,Level 2 PT,2027-08-24,2023-03-19,1,823.84,Part-time,3.6,0
11,Aria,Butkus,F,aria.butkus.c11@gmail.com,+370 604 12465,CrossFit,Level 1 PT,2025-07-04,2015-03-16,9,974.91,Part-time,3.2,0
12,Ethan,Cesnavicius,M,ethan.cesnavicius.c12@hotmail.com,+370 636 70325,Functional Training,Yoga RYT-200,2028-11-24,2016-11-08,8,1204.28,Freelance,3.8,0
