member_id,first_name,last_name,gender,date_of_birth,email,phone,address,membership_type,membership_price_eur,registration_date,status,referred_by_member_id
1,Ramute,Butkus,F,1991-11-22,ramute.butkus.1@gmail.com,+370 632 60209,"Sveikatos g. 88, Jonava",VIP,90,2020-01-03,Active,1003
2,Valdas,Brown,M,1992-07-04,valdas.brown.2@outlook.com,+370 649 99439,"Kauno g. 20, Mazeikiai",VIP,90,2024-08-07,Inactive,
3,Ruta,Williams,F,1988-09-19,ruta.williams.3@gmail.com,+370 634 83131,"Gedimino pr. 55, Siauliai",Corporate,55,2018-12-26,Active,
4,Julius,Rimkus,M,2005-05-20,julius.rimkus.4@gmail.com,+370 645 26926,"Kauno g. 118, Klaipeda",Monthly,35,2020-03-22,Active,
5,Ieva,Taylor,F,1972-12-20,ieva.taylor.5@gmail.com,+370 621 72092,"Olimpieciu g. 105, Marijampole",Premium,65,2023-08-24,Active,872
6,Darius,Mackevicius,M,1992-09-11,darius.mackevicius.6@mail.com,+370 651 36318,"Gedimino pr. 82, Siauliai",Family,75,2018-01-24,Active,
7,Harper,Jones,F,1970-09-02,harper.jones.7@yahoo.com,+370 694 88599,"Cempiony g. 20, Utena",Corporate,55,2021-12-20,Suspended,
8,Rytis,Stankevicius,M,1971-06-12,rytis.stankevicius.8@hotmail.com,+370 618 37207,"Sveikatos g. 41, Mazeikiai",Premium,65,2021-04-27,Suspended,
9,Gintare,Davis,F,2001-11-21,gintare.davis.9@mail.com,+370 636 11461,"Energijos g. 107, Vilnius",Premium,65,2022-01-21,Active,
10,Ramute,Urbonas,F,2001-11-21,ramute.urbonas.10@outlook.com,+370 668 22145,"Pylimo g. 113, Vilnius",Family,75,2022-06-24,Active,
11,Mia,Stonkus,F,1975-04-30,mia.stonkus.11@outlook.com,+370 613 51147,"Kauno g. 98, Siauliai",VIP,90,2021-06-29,Active,
12,Mia,Jankauskas,F,2004-08-03,mia.jankauskas.12@outlook.com,+370 608 75948,"Vilniaus g. 117, Alytus",Family,75,2022-11-29,Suspended,
13,Elijah,Wilson,M,1976-07-09,elijah.wilson.13@mail.com,+370 620 47000,"Savanoriu pr. 87, Utena",Student,20,2022-11-01,Active,
14,Egle,Vaitkevicius,F,1980-02-10,egle.vaitkevicius.14@outlook.com,+370 688 48718,"Kauno g. 115, Klaipeda",Senior,22,2020-03-20,Active,
15,Sophia,Cesnavicius,F,1998-05-01,sophia.cesnavicius.15@outlook.com,+370 684 62415,"Gedimino pr. 15, Jonava",Family,75,2020-08-05,Inactive,
16,Arnas,Mackevicius,M,1995-02-27,arnas.mackevicius.16@hotmail.com,+370 626 44590,"Cempiony g. 109, Marijampole",Day Pass,8,2019-11-17,Inactive,
17,Egle,Brown,F,1965-12-04,egle.brown.17@gmail.com,+370 607 64627,"Vilniaus g. 48, Jonava",Student,20,2019-03-07,Active,
18,Egle,Jones,F,1969-06-29,egle.jones.18@outlook.com,+370 658 53130,"Pylimo g. 113, Klaipeda",Family,75,2022-06-05,Inactive,
19,Daiva,Balciunas,F,1997-01-28,daiva.balciunas.19@outlook.com,+370 659 85060,"Cempiony g. 49, Klaipeda",Senior,22,2020-01-03,Active,
20,Monika,Wilson,F,1993-01-27,monika.wilson.20@mail.com,+370 630 70276,"Sveikatos g. 2, Kaunas",Premium,65,2023-05-06,Suspended,
21,Ruta,Urbonas,F,1994-05-23,ruta.urbonas.21@outlook.com,+370 681 11573,"Energijos g. 41, Marijampole",Monthly,35,2018-01-17,Active,
22,Ignas,Taylor,M,1967-02-18,ignas.taylor.22@mail.com,+370 629 82779,"Vilniaus g. 21, Mazeikiai",Basic,25,2022-06-16,Active,856
23,Lucas,Butkus,M,1970-04-04,lucas.butkus.23@outlook.com,+370 609 83361,"Kauno g. 100, Jonava",Premium,65,2023-06-09,Active,725
24,Noah,Johnson,M,1970-02-04,noah.johnson.24@gmail.com,+370 604 77204,"Olimpieciu g. 49, Klaipeda",Premium,65,2019-05-30,Active,
25,Virgilijus,Daugirdas,M,1999-02-12,virgilijus.daugirdas.25@gmail.com,+370 643 91928,"Savanoriu pr. 25, Panevezys",Premium,65,2024-11-08,Active,228
26,Tautvydas,Smith,M,1988-05-20,tautvydas.smith.26@gmail.com,+370 630 84284,"Sporto g. 94, Utena",VIP,90,2018-02-21,Active,
27,Aiden,Miller,M,1972-03-29,aiden.miller.27@outlook.com,+370 675 15976,"Energijos g. 51, Vilnius",Corporate,55,2019-11-13,Active,
28,Darius,Kazlauskas,M,2004-07-08,darius.kazlauskas.28@gmail.com,+370 663 66032,"Laisves al. 6, Alytus",Day Pass,8,2021-03-15,Active,650
29,Sophia,Urbonas,F,2001-02-18,sophia.urbonas.29@mail.com,+370 629 81824,"Pylimo g. 89, Vilnius",Family,75,2018-05-22,Inactive,
30,Ava,Vaitkevicius,F,1983-10-20,ava.vaitkevicius.30@hotmail.com,+370 606 37808,"Kauno g. 83, Panevezys",VIP,90,2023-09-30,Active,1162
